"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"Whirlpool";"washer";;"Selfpay";;"TICKET IS FOR ROYAS SISTER BUT NEED TO HAVE IT IN THE FILE";"unit has been fixed. dk";;"W10427972";;;;;;;"W11319991";;;;;;;;"cntl center";;;;;;;"cntr elec";;;;;;;
"Infinity";"sub, powered";"CWS-10";"AIG Extended";;"HAS POWER BUT HAS NO AUDIO OUTPUT INDICATOR ALTERNATES RED AND GREEN, SHOULD BE SOLID GREEN";;"Kenny says one of the parts listed is a 4 pin and the one in the unit is 3 pins, he'll try to find right one and will give est to cx when/if that happens 07/12/23 dk";"IR2111PBFND";"292223470539";"283124633293";;;;;"mmbt3904lt1gost";"MMBT3906LT1Gost";"48782N5551CTND";"MMBT5401LT1GOST";"MMBT5551LT1GOST";"29612821ND";"302891842881";"282223599841";"IR2111PBF";"MPS2907A";"MPSW06";;;;;"MMBT3904LT1";"MMBT3906LT1";"2N5551";"MMBT5401LT1";"MMBT5551LT1";"TL072CDR";"IRFB23N20D";"MPS2222A"
"Philips";"blu-ray";"BDP1502/F7 B";"Centricity";"305786";"DOOR WILL NOT OPEN AND CLOSE.";;"6/22 cn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ACP";"Microwave";;"RMH Applebee's";"0210288";"MICROWAVE WILL NOT TURN ON.";;"PU unit 08/10/22 geo. RFA done. 9/6 New HV cap and lower mag are still in unit 08/23gp";"59001162";;;;;;;"59004013";"M0805303";;;;;;;"HV CAP .74";;;;;;;"MAGS";"FUSE";;;;;;
"Sony";"TV";"KD-65X750F";;;"NO POWER";;"unit was not part of April inventory, must not be in shop 04/18/dk";"A-2199-545-A";;;;;;;;;;;;;;;"MAIN";;;;;;;;;;;;;;
"Heathzenith";"light";"5610";"selfpay";;"DOES NOT COME ON ANYMORE.";;"04/25/23 no new info";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ACP";"Microwave";"HDC182";"RMH Applebee's";"0210310";"MICROWAVE WILL NOT TURN ON.";;"(2) Units picked up. 01/20/23 tb Could not determine what happened to this microwave. 04/25dk needs estimate 08/23dk

";"59124202";;;;;;;"	14159092";;;;;;;;"Antenna Shield";;;;;;;"Ceramic Tray";;;;;;;
"Panasonic";"Microwave";"NE-1054F";"self pay";;"MICROWAVE WILL NOT TURN ON.";;"Shop Note:
Low voltage transformer on control board makes intermittent connection. Needs control board. no new info on ticket 04/25/23";"F603L6P10AP1";;;;;;;;;;;;;;;"Cont Board 6295";;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-1757A";;;"MICROWAVE WILL NOT TURN ON.";;"1/20 Need to give estimate 08/23 gp
";"A2011-3280S";;;;;;;;;;;;;;;"ANT SHIELD";;;;;;;"door assy";"upper ant motor";"inner door";"interlock sw";;;;
"Lg";"TV";"32LN5300-UB.BUSYLWM";;;"NO PICTURE, NO MENUS 333 6969";;"tried to call for estimate but the phone wouldn't ring thru 05/04dk, spoke with customer, gave estimate. 05/05dk Customer declined repair, will pick up TV. 5/8/23, K ((save this tv, may just need power supply 05/24dk)) 
call cx- if they want";;;;;;;;"Eay62810301";"32LN530B-UA-K3";;;;;;;"main";;;;;;;"power sup 34.39";"repair kit 6499";;;;;;
